trace_name,event_id,p_switch,margin_fixed,c1_ok,c2_ok,ok_scalar
16850881.IV.AGST..EH,16850881,0.6968781352043152,0.8089997741912818,True,True,True
16850881.IV.AIO..HH,16850881,0.8043227195739746,0.2540038900096906,False,False,False
16850881.IV.GALF..HH,16850881,0.8654360771179199,0.1268097416187426,False,False,False
16850881.IV.HLNI..HH,16850881,0.5495518445968628,1.4362306039090953,True,True,True
16850881.IV.MUCR..HH,16850881,0.7111215591430664,12.676638302152767,False,True,True
16851641.IV.AIO..HH,16851641,0.8706870079040527,1.7130657849646427,False,False,False
16851641.IV.GALF..HH,16851641,0.8543686270713806,0.18928585219926453,False,False,False
16851641.IV.HLNI..HH,16851641,0.7636293768882751,1.6879826023022435,True,True,True
16851671.IV.AGST..EH,16851671,0.7541956305503845,0.6205820584842785,True,True,True
16851671.IV.ESLN..HH,16851671,0.5304406881332397,0.3314410210929002,True,True,True
16851671.IV.HLNI..HH,16851671,0.8190165758132935,1.9657484479782443,True,True,True
16851741.IV.AGST..EH,16851741,0.8257697224617004,0.9524871283739769,True,True,True
16851741.IV.GALF..HH,16851741,0.8545781373977661,0.8225969238994584,False,False,False
16851741.IV.HLNI..HH,16851741,0.7182855606079102,3.7005478008385246,True,True,True
16851741.IV.SSY..HH,16851741,0.8007623553276062,1.329639231561739,False,False,False
16852181.IV.AGST..EH,16852181,0.723792552947998,1.0661784545100623,True,True,True
16852181.IV.EPZF..HH,16852181,0.514111340045929,0.13480076758874804,True,True,True
16852181.IV.HLNI..HH,16852181,0.542811393737793,3.8541494039256285,True,True,True
16852251.IV.GALF..HH,16852251,0.870661735534668,0.37755654172322883,True,True,True
16852251.IV.HAGA..HH,16852251,0.8371422290802002,0.9997256882410479,True,True,True
16852251.IV.HLNI..HH,16852251,0.5006393194198608,2.6702018677003245,True,True,True
16852251.IV.MUCR..HH,16852251,0.6129507422447205,9.037173435445085,False,True,True
16852251.IV.SSY..HH,16852251,0.7828951478004456,1.326378350705431,True,True,True
16852361.IV.AGST..EH,16852361,0.6645980477333069,0.8556192206511213,True,True,True
16852361.IV.AIO..HH,16852361,0.9260633587837219,0.5131201801680734,False,True,True
16852361.IV.GALF..HH,16852361,0.8739342093467712,0.230004150304829,False,False,False
16852611.IV.HLNI..HH,16852611,0.7040323615074158,4.3507388765833,True,True,True
16852751.IV.ATCC..HN,16852751,0.735356330871582,0.48079742410545,True,True,True
16852751.IV.EL6..EH,16852751,0.7255390882492065,0.5019915096101681,True,True,True
16852751.IV.FOSV..HN,16852751,0.7805357575416565,0.3695308003240384,True,True,True
16852751.IV.SNTG..HN,16852751,0.7980021238327026,0.40784255933331703,True,True,True
16852751.IV.T1221..HN,16852751,0.5523587465286255,0.13755651651912887,True,True,True
16853241.GU.CIRO..HH,16853241,0.7645370364189148,0.2532442131590527,False,False,False
16853241.GU.REMY..HH,16853241,0.703940212726593,0.3449663538822845,True,True,True
16853241.GU.SATI..HH,16853241,0.7525072693824768,0.24707250611787246,True,True,True
16853371.IV.AGST..EH,16853371,0.8307759165763855,1.7542106794610235,True,True,True
16853371.IV.EMSG..HH,16853371,0.5006369352340698,0.11465013901901977,True,True,True
16853371.IV.MSRU..HH,16853371,0.8171640038490295,0.5540683794314774,False,False,False
16853371.IV.RAFF..HH,16853371,0.960641622543335,0.8317200130587482,False,False,False
16853571.IV.HAGA..HH,16853571,0.8196353316307068,1.8026136799568349,True,True,True
16853571.IV.HLNI..HH,16853571,0.6969202756881714,3.564891410304771,True,True,True
16853571.IV.SSY..HH,16853571,0.8416185975074768,1.3155680665049996,True,True,True
16853861.IV.EPZF..HH,16853861,0.6147680282592773,0.02105209853414003,True,False,False
16853861.IV.GALF..HH,16853861,0.8210296034812927,0.24693789136904098,False,False,False
16853971.IV.AGST..EH,16853971,0.7236143350601196,0.7439271999203996,True,True,True
16853971.IV.EMSG..HH,16853971,0.8995169401168823,0.3113273753433723,True,False,False
16853971.IV.GALF..HH,16853971,0.885627031326294,0.11054395168147102,False,False,False
16853971.IV.HAGA..HH,16853971,0.7944051027297974,1.2985774377700015,True,True,True
16853971.IV.HLNI..HH,16853971,0.8051323294639587,4.608087203569413,True,True,True
16853971.IV.HPAC..HH,16853971,0.7458186745643616,0.8573380888034761,False,False,False
16854311.IV.EMSG..HH,16854311,0.9999477863311768,0.2935852227611875,False,False,False
16854311.IV.ESLN..HH,16854311,0.5359443426132202,0.30886390624878635,True,True,True
16855411.IV.HAGA..HH,16855411,0.7872223854064941,0.19988627684849053,True,True,True
16855411.IV.RAFF..HH,16855411,0.6192313432693481,0.5936122482924963,True,True,True
16855411.IV.SSY..HH,16855411,0.9101601839065552,0.14939965552614115,True,True,True
16858061.IV.CAFE..HH,16858061,0.6467249989509583,0.3456762245192455,True,False,False
16858061.IV.MRB1..HH,16858061,0.5708620548248291,0.022059862933063723,True,True,True
16858061.IV.SGRT..HH,16858061,0.7603488564491272,0.49044230487639845,True,True,True
